Point,Pressure(hPa),Temp(C),Pressure(hPa),Temp(C)
15570,999.760000,21.010000,999.510000,22.990000
15600,999.760000,21.020000,999.530000,23.010000
15630,999.770000,21.000000,999.530000,22.990000
15660,999.780000,21.000000,999.540000,23.000000
15690,999.790000,21.020000,999.540000,22.970000
15720,999.790000,20.990000,999.550000,22.990000
15750,999.800000,20.980000,999.560000,22.970000
15780,999.800000,20.970000,999.560000,22.940000
15810,999.810000,20.890000,999.580000,22.930000
15840,999.830000,20.820000,999.590000,22.910000
15870,999.840000,20.750000,999.610000,22.920000
15900,999.860000,20.690000,999.620000,22.890000
15930,999.860000,20.630000,999.620000,22.870000
15960,999.870000,20.540000,999.630000,22.830000
15990,999.880000,20.370000,999.640000,22.790000
16020,999.890000,20.220000,999.650000,22.770000
16050,999.890000,20.110000,999.650000,22.730000
16080,999.890000,19.990000,999.660000,22.680000
16110,999.900000,19.850000,999.660000,22.650000
16140,999.900000,19.710000,999.670000,22.590000
16170,999.910000,19.550000,999.670000,22.530000
16200,999.910000,19.450000,999.670000,22.470000
16230,999.920000,19.420000,999.670000,22.450000
16260,999.910000,19.410000,999.670000,22.420000
16290,999.920000,19.420000,999.670000,22.360000
16320,999.920000,19.460000,999.680000,22.330000
16350,999.930000,19.490000,999.680000,22.320000
16380,999.930000,19.540000,999.690000,22.300000
16410,999.940000,19.610000,999.690000,22.270000
16440,999.940000,19.670000,999.690000,22.260000
16470,999.940000,19.720000,999.700000,22.260000
16500,999.940000,19.760000,999.700000,22.240000
16530,999.940000,19.810000,999.700000,22.250000
16560,999.950000,19.840000,999.710000,22.220000
16590,999.940000,19.900000,999.700000,22.220000
16620,999.950000,19.940000,999.710000,22.220000
16650,999.950000,19.990000,999.710000,22.240000
16680,999.950000,20.030000,999.710000,22.230000
16710,999.950000,20.120000,999.710000,22.250000
16740,999.950000,20.160000,999.710000,22.240000
16770,999.960000,20.190000,999.710000,22.280000
16800,999.960000,20.190000,999.720000,22.270000
16830,999.960000,20.220000,999.710000,22.260000
16860,999.960000,20.230000,999.720000,22.280000
16890,999.970000,20.240000,999.730000,22.280000
16920,999.980000,20.260000,999.740000,22.310000
16950,999.990000,20.290000,999.750000,22.290000
16980,1000.000000,20.310000,999.760000,22.300000
17010,1000.010000,20.300000,999.770000,22.290000
17040,1000.010000,20.320000,999.770000,22.300000
17070,1000.020000,20.360000,999.780000,22.300000
17100,1000.030000,20.400000,999.790000,22.320000
17130,1000.040000,20.400000,999.790000,22.330000
17160,1000.040000,20.410000,999.800000,22.330000
17190,1000.040000,20.400000,999.800000,22.340000
17220,1000.050000,20.420000,999.810000,22.360000
17250,1000.060000,20.430000,999.810000,22.350000
17280,1000.060000,20.430000,999.820000,22.370000
17310,1000.060000,20.460000,999.820000,22.350000
17340,1000.060000,20.450000,999.830000,22.400000
17370,1000.070000,20.480000,999.830000,22.370000
17400,1000.070000,20.480000,999.840000,22.390000
17430,1000.070000,20.480000,999.830000,22.390000
17460,1000.080000,20.500000,999.830000,22.390000
17490,1000.080000,20.490000,999.840000,22.410000
17520,1000.080000,20.480000,999.850000,22.410000
17550,1000.090000,20.480000,999.850000,22.410000
17580,1000.090000,20.490000,999.860000,22.410000
17610,1000.100000,20.500000,999.860000,22.430000
17640,1000.100000,20.520000,999.870000,22.550000
17670,1000.110000,20.540000,999.870000,22.730000
17700,1000.110000,20.530000,999.870000,22.930000
17730,1000.110000,20.540000,999.870000,23.150000
17760,1000.120000,20.570000,999.880000,23.360000
17790,1000.120000,20.560000,999.890000,23.550000
17820,1000.130000,20.570000,999.890000,23.700000
17850,1000.140000,20.570000,999.900000,23.900000
17880,1000.140000,20.550000,999.910000,24.030000
17910,1000.150000,20.560000,999.920000,24.150000
17940,1000.160000,20.570000,999.930000,24.230000
17970,1000.170000,20.580000,999.930000,24.310000
18000,1000.170000,20.560000,999.940000,24.400000
